x;n = 10;n = 25;n = 50;n = 100
1,99843;0,047168828;0,019232021;0,009527019;0,004606784
1,99686;0,046347939;0,01845699;0,008790529;0,003929118
1,99529;0,045586039;0,017730132;0,00811839;0,003353924
1,99372;0,044835464;0,017030809;0,007496698;0,002862217
1,99215;0,044096064;0,016358018;0,006921739;0,002441985
1,99058;0,043367689;0,015710794;0,006390066;0,002082927
1,98901;0,042650193;0,015088203;0,005898481;0,001776214
1,98744;0,04194343;0,014489345;0,005444017;0,00151428
1,98587;0,041247257;0,013913351;0,005023926;0,001290646
1,9843;0,040561533;0,013359384;0,004635655;0,001099758
1,98273;0,039886117;0,012826633;0,00427684;9,37E-04
1,98116;0,039220871;0,012314319;0,003945288;7,98E-04
1,97959;0,038565658;0,011821689;0,003638967;6,79E-04
1,97802;0,037920343;0,011348017;0,003355993;5,78E-04
1,97645;0,037284792;0,010892602;0,003094619;4,92E-04
1,97488;0,036658873;0,010454768;0,002853227;4,19E-04
1,97331;0,036042455;0,010033863;0,00263032;3,56E-04
1,97174;0,035435411;0,00962926;0,002424507;3,03E-04
1,97017;0,034837612;0,009240351;0,002234502;2,57E-04
1,9686;0,034248933;0,008866552;0,002059115;2,19E-04
1,96703;0,033669249;0,0085073;0,001897241;1,86E-04
1,96546;0,033098438;0,00816205;0,00174786;1,58E-04
1,96389;0,032536378;0,007830278;0,001610024;1,34E-04
1,96232;0,031982949;0,00751148;0,001482858;1,14E-04
1,96075;0,031438034;0,007205168;0,001365553;9,66E-05
1,95918;0,030901514;0,006910872;0,001257357;8,20E-05
1,95761;0,030373274;0,00662814;0,001157576;6,96E-05
1,95604;0,029853201;0,006356535;0,001065568;5,90E-05
1,95447;0,029341181;0,006095636;9,81E-04;5,00E-05
1,9529;0,028837102;0,00584504;9,03E-04;4,24E-05
1,95133;0,028340856;0,005604354;8,30E-04;3,59E-05
1,94976;0,027852332;0,005373202;7,64E-04;3,04E-05
1,94819;0,027371425;0,005151223;7,03E-04;2,58E-05
1,94662;0,026898026;0,004938065;6,46E-04;2,18E-05
1,94505;0,026432033;0,004733393;5,94E-04;1,85E-05
1,94348;0,025973341;0,004536881;5,47E-04;1,56E-05
1,94191;0,025521847;0,004348219;5,03E-04;1,32E-05
1,94034;0,025077452;0,004167104;4,62E-04;1,12E-05
1,93877;0,024640055;0,003993246;4,25E-04;9,46E-06
1,9372;0,024209559;0,003826367;3,90E-04;7,99E-06
1,93563;0,023785864;0,003666196;3,59E-04;6,75E-06
1,93406;0,023368876;0,003512476;3,29E-04;5,71E-06
1,93249;0,0229585;0,003364957;3,03E-04;4,82E-06
1,93092;0,022554642;0,003223398;2,78E-04;4,07E-06
1,92935;0,022157209;0,003087568;2,55E-04;3,43E-06
1,92778;0,02176611;0,002957245;2,34E-04;2,90E-06
