x;od poczatku;od konca
1,99843;0,004606784;0,004606784
1,99686;0,003929118;0,003929118
1,99529;0,003353924;0,003353924
1,99372;0,002862217;0,002862217
1,99215;0,002441985;0,002441985
1,99058;0,002082927;0,002082927
1,98901;0,001776214;0,001776214
1,98744;0,00151428;0,00151428
1,98587;0,001290646;0,001290646
1,9843;0,001099758;0,001099758
1,98273;9,37E-04;9,37E-04
1,98116;7,98E-04;7,98E-04
1,97959;6,79E-04;6,79E-04
1,97802;5,78E-04;5,78E-04
1,97645;4,92E-04;4,92E-04
1,97488;4,19E-04;4,19E-04
1,97331;3,56E-04;3,56E-04
1,97174;3,03E-04;3,03E-04
1,97017;2,57E-04;2,57E-04
1,9686;2,19E-04;2,19E-04
1,96703;1,86E-04;1,86E-04
1,96546;1,58E-04;1,58E-04
1,96389;1,34E-04;1,34E-04
1,96232;1,14E-04;1,14E-04
1,96075;9,66E-05;9,66E-05
1,95918;8,20E-05;8,20E-05
1,95761;6,96E-05;6,96E-05
1,95604;5,90E-05;5,90E-05
1,95447;5,00E-05;5,00E-05
1,9529;4,24E-05;4,24E-05
1,95133;3,59E-05;3,59E-05
1,94976;3,04E-05;3,04E-05
1,94819;2,58E-05;2,58E-05
1,94662;2,18E-05;2,18E-05
1,94505;1,85E-05;1,85E-05
1,94348;1,56E-05;1,56E-05
1,94191;1,32E-05;1,32E-05
1,94034;1,12E-05;1,12E-05
1,93877;9,46E-06;9,46E-06
1,9372;7,99E-06;7,99E-06
1,93563;6,75E-06;6,75E-06
1,93406;5,71E-06;5,71E-06
1,93249;4,82E-06;4,82E-06
1,93092;4,07E-06;4,07E-06
1,92935;3,43E-06;3,43E-06
1,92778;2,90E-06;2,90E-06
1,92621;2,44E-06;2,44E-06
1,92464;2,06E-06;2,06E-06
1,92307;1,74E-06;1,74E-06
1,9215;1,46E-06;1,46E-06
1,91993;1,23E-06;1,23E-06
1,91836;1,04E-06;1,04E-06
1,91679;8,76E-07;8,76E-07
1,91522;7,37E-07;7,37E-07
1,91365;6,20E-07;6,20E-07
1,91208;5,22E-07;5,22E-07
1,91051;4,39E-07;4,39E-07
1,90894;3,69E-07;3,69E-07
1,90737;3,10E-07;3,10E-07
1,9058;2,61E-07;2,61E-07
1,90423;2,19E-07;2,19E-07
1,90266;1,84E-07;1,84E-07
1,90109;1,54E-07;1,54E-07
1,89952;1,30E-07;1,30E-07
1,89795;1,09E-07;1,09E-07
1,89638;9,12E-08;9,12E-08
1,89481;7,65E-08;7,65E-08
1,89324;6,41E-08;6,41E-08
1,89167;5,38E-08;5,38E-08
1,8901;4,50E-08;4,50E-08
1,88853;3,77E-08;3,77E-08
1,88696;3,16E-08;3,16E-08
1,88539;2,64E-08;2,64E-08
1,88382;2,21E-08;2,21E-08
1,88225;1,85E-08;1,85E-08
1,88068;1,55E-08;1,55E-08
1,87911;1,29E-08;1,29E-08
1,87754;1,08E-08;1,08E-08
1,87597;9,03E-09;9,03E-09
1,8744;7,54E-09;7,54E-09
1,87283;6,29E-09;6,29E-09
1,87126;5,25E-09;5,25E-09
1,86969;4,38E-09;4,38E-09
1,86812;3,65E-09;3,65E-09
1,86655;3,05E-09;3,05E-09
1,86498;2,54E-09;2,54E-09
1,86341;2,12E-09;2,12E-09
1,86184;1,76E-09;1,76E-09
1,86027;1,47E-09;1,47E-09
1,8587;1,22E-09;1,22E-09
1,85713;1,02E-09;1,02E-09
1,85556;8,45E-10;8,45E-10
1,85399;7,03E-10;7,03E-10
1,85242;5,84E-10;5,84E-10
1,85085;4,86E-10;4,86E-10
1,84928;4,03E-10;4,03E-10
1,84771;3,35E-10;3,35E-10
1,84614;2,78E-10;2,78E-10
1,84457;2,31E-10;2,31E-10
1,843;1,91E-10;1,91E-10
1,84143;1,59E-10;1,59E-10
1,83986;1,32E-10;1,32E-10
1,83829;1,09E-10;1,09E-10
1,83672;9,03E-11;9,03E-11
1,83515;7,48E-11;7,48E-11
1,83358;6,19E-11;6,19E-11
1,83201;5,12E-11;5,12E-11
1,83044;4,24E-11;4,24E-11
1,82887;3,50E-11;3,50E-11
1,8273;2,90E-11;2,90E-11
1,82573;2,39E-11;2,39E-11
1,82416;1,98E-11;1,98E-11
1,82259;1,63E-11;1,63E-11
1,82102;1,35E-11;1,35E-11
1,81945;1,11E-11;1,11E-11
1,81788;9,17E-12;9,17E-12
1,81631;7,56E-12;7,56E-12
1,81474;6,23E-12;6,23E-12
1,81317;5,13E-12;5,13E-12
1,8116;4,23E-12;4,23E-12
1,81003;3,48E-12;3,48E-12
1,80846;2,86E-12;2,86E-12
1,80689;2,36E-12;2,36E-12
1,80532;1,94E-12;1,94E-12
1,80375;1,59E-12;1,59E-12
1,80218;1,31E-12;1,31E-12
1,80061;1,07E-12;1,07E-12
1,79904;8,82E-13;8,82E-13
1,79747;7,24E-13;7,24E-13
1,7959;5,94E-13;5,94E-13
1,79433;4,87E-13;4,87E-13
1,79276;3,99E-13;3,99E-13
1,79119;3,27E-13;3,27E-13
1,78962;2,68E-13;2,68E-13
1,78805;2,19E-13;2,19E-13
1,78648;1,80E-13;1,80E-13
1,78491;1,47E-13;1,47E-13
1,78334;1,20E-13;1,20E-13
1,78177;9,82E-14;9,82E-14
1,7802;8,03E-14;8,03E-14
1,77863;6,56E-14;6,56E-14
1,77706;5,35E-14;5,35E-14
1,77549;4,37E-14;4,37E-14
1,77392;3,56E-14;3,56E-14
1,77235;2,91E-14;2,91E-14
1,77078;2,37E-14;2,37E-14
1,76921;1,93E-14;1,93E-14
1,76764;1,57E-14;1,57E-14
1,76607;1,28E-14;1,28E-14
1,7645;1,04E-14;1,04E-14
1,76293;8,49E-15;8,48E-15
1,76136;6,90E-15;6,89E-15
1,75979;5,60E-15;5,60E-15
1,75822;4,55E-15;4,55E-15
1,75665;3,68E-15;3,70E-15
1,75508;3,01E-15;3,00E-15
1,75351;2,43E-15;2,44E-15
1,75194;1,99E-15;1,98E-15
1,75037;1,61E-15;1,61E-15
1,7488;1,30E-15;1,30E-15
1,74723;1,05E-15;1,06E-15
1,74566;8,37E-16;8,58E-16
1,74409;7,03E-16;6,94E-16
1,74252;5,70E-16;5,63E-16
1,74095;4,82E-16;4,56E-16
1,73938;3,93E-16;3,74E-16
1,73781;3,67E-16;2,98E-16
1,73624;3,08E-16;2,44E-16
1,73467;2,90E-16;1,98E-16
1,7331;2,94E-16;1,62E-16
1,73153;2,78E-16;1,30E-16
1,72996;2,52E-16;1,07E-16
1,72839;2,79E-16;8,50E-17
1,72682;2,52E-16;6,99E-17
1,72525;2,63E-16;5,75E-17
1,72368;2,65E-16;4,96E-17
1,72211;2,54E-16;3,86E-17
1,72054;2,50E-16;3,44E-17
1,71897;2,40E-16;2,65E-17
1,7174;2,43E-16;2,40E-17
